Frame,pacman_X,pacman_Y
RZ_3279899_1.png,80,104
RZ_3279899_10.png,80,104
RZ_3279899_100.png,81,104
RZ_3279899_1000.png,120,32
RZ_3279899_10000.png,40,56
RZ_3279899_10001.png,41,56
RZ_3279899_10002.png,41,56
RZ_3279899_10003.png,42,56
RZ_3279899_10004.png,42,56
RZ_3279899_10005.png,43,56
RZ_3279899_10006.png,43,56
RZ_3279899_10007.png,45,56
RZ_3279899_10008.png,45,56
RZ_3279899_10009.png,46,56
RZ_3279899_1001.png,121,32
RZ_3279899_10010.png,46,56
RZ_3279899_10011.png,49,56
RZ_3279899_10012.png,49,56
RZ_3279899_10013.png,50,56
RZ_3279899_10014.png,50,56
RZ_3279899_10015.png,49,56
RZ_3279899_10016.png,49,56
RZ_3279899_10017.png,48,56
RZ_3279899_10018.png,48,56
RZ_3279899_10019.png,48,56
RZ_3279899_1002.png,121,32
RZ_3279899_10020.png,48,56
RZ_3279899_10021.png,47,56
RZ_3279899_10022.png,47,56
RZ_3279899_10023.png,44,56
RZ_3279899_10024.png,44,56
RZ_3279899_10025.png,43,56
RZ_3279899_10026.png,43,56
RZ_3279899_10027.png,41,56
RZ_3279899_10028.png,41,56
RZ_3279899_10029.png,40,56
RZ_3279899_1003.png,124,32
RZ_3279899_10030.png,40,56
RZ_3279899_10031.png,38,56
RZ_3279899_10032.png,38,56
RZ_3279899_10033.png,37,56
RZ_3279899_10034.png,37,56
RZ_3279899_10035.png,36,56
RZ_3279899_10036.png,36,56
RZ_3279899_10037.png,35,56
RZ_3279899_10038.png,35,56
RZ_3279899_10039.png,34,54
RZ_3279899_1004.png,124,32
RZ_3279899_10040.png,34,54
RZ_3279899_10041.png,34,52
RZ_3279899_10042.png,34,52
RZ_3279899_10043.png,34,50
RZ_3279899_10044.png,34,50
RZ_3279899_10045.png,34,48
RZ_3279899_10046.png,34,48
RZ_3279899_10047.png,34,46
RZ_3279899_10048.png,34,46
RZ_3279899_10049.png,34,44
RZ_3279899_1005.png,125,32
RZ_3279899_10050.png,34,44
RZ_3279899_10051.png,34,43
RZ_3279899_10052.png,34,43
RZ_3279899_10053.png,34,41
RZ_3279899_10054.png,34,41
RZ_3279899_10055.png,34,38
RZ_3279899_10056.png,34,38
RZ_3279899_10057.png,34,36
RZ_3279899_10058.png,34,36
RZ_3279899_10059.png,34,34
RZ_3279899_1006.png,125,32
RZ_3279899_10060.png,34,34
RZ_3279899_10061.png,34,32
RZ_3279899_10062.png,34,32
RZ_3279899_10063.png,34,30
RZ_3279899_10064.png,34,30
RZ_3279899_10065.png,34,28
RZ_3279899_10066.png,34,28
RZ_3279899_10067.png,34,27
RZ_3279899_10068.png,34,27
RZ_3279899_10069.png,34,25
RZ_3279899_1007.png,126,32
RZ_3279899_10070.png,34,25
RZ_3279899_10071.png,34,22
RZ_3279899_10072.png,34,22
RZ_3279899_10073.png,34,20
RZ_3279899_10074.png,34,20
RZ_3279899_10075.png,34,19
RZ_3279899_10076.png,34,19
RZ_3279899_10077.png,34,17
RZ_3279899_10078.png,34,17
RZ_3279899_10079.png,34,16
RZ_3279899_1008.png,126,32
RZ_3279899_10080.png,34,16
RZ_3279899_10081.png,34,14
RZ_3279899_10082.png,34,14
RZ_3279899_10083.png,34,13
RZ_3279899_10084.png,34,13
RZ_3279899_10085.png,34,11
RZ_3279899_10086.png,34,11
RZ_3279899_10087.png,34,8
RZ_3279899_10088.png,34,8
RZ_3279899_10089.png,33,8
RZ_3279899_1009.png,126,32
RZ_3279899_10090.png,33,8
RZ_3279899_10091.png,32,8
RZ_3279899_10092.png,32,8
RZ_3279899_10093.png,31,8
RZ_3279899_10094.png,31,8
RZ_3279899_10095.png,30,8
RZ_3279899_10096.png,30,8
RZ_3279899_10097.png,29,8
RZ_3279899_10098.png,29,8
RZ_3279899_10099.png,28,8
RZ_3279899_101.png,81,104
RZ_3279899_1010.png,126,32
RZ_3279899_10100.png,28,8
RZ_3279899_10101.png,27,8
RZ_3279899_10102.png,27,8
RZ_3279899_10103.png,25,8
RZ_3279899_10104.png,25,8
RZ_3279899_10105.png,24,8
RZ_3279899_10106.png,24,8
RZ_3279899_10107.png,23,8
RZ_3279899_10108.png,23,8
RZ_3279899_10109.png,22,8
RZ_3279899_1011.png,127,32
RZ_3279899_10110.png,22,8
RZ_3279899_10111.png,20,8
RZ_3279899_10112.png,20,8
RZ_3279899_10113.png,19,8
RZ_3279899_10114.png,19,8
RZ_3279899_10115.png,19,8
RZ_3279899_10116.png,19,8
RZ_3279899_10117.png,18,8
RZ_3279899_10118.png,18,8
RZ_3279899_10119.png,16,8
RZ_3279899_1012.png,127,32
RZ_3279899_10120.png,16,8
RZ_3279899_10121.png,15,8
RZ_3279899_10122.png,15,8
RZ_3279899_10123.png,13,8
RZ_3279899_10124.png,13,8
RZ_3279899_10125.png,12,8
RZ_3279899_10126.png,12,8
RZ_3279899_10127.png,10,8
RZ_3279899_10128.png,10,8
RZ_3279899_10129.png,10,8
RZ_3279899_1013.png,127,32
RZ_3279899_10130.png,10,8
RZ_3279899_10131.png,11,8
RZ_3279899_10132.png,11,8
RZ_3279899_10133.png,11,8
RZ_3279899_10134.png,11,8
RZ_3279899_10135.png,10,8
RZ_3279899_10136.png,10,8
RZ_3279899_10137.png,10,8
RZ_3279899_10138.png,10,8
RZ_3279899_10139.png,10,8
RZ_3279899_1014.png,127,32
RZ_3279899_10140.png,10,8
RZ_3279899_10141.png,10,8
RZ_3279899_10142.png,10,8
RZ_3279899_10143.png,10,8
RZ_3279899_10144.png,10,8
RZ_3279899_10145.png,10,8
RZ_3279899_10146.png,10,8
RZ_3279899_10147.png,10,9
RZ_3279899_10148.png,10,9
RZ_3279899_10149.png,10,11
RZ_3279899_1015.png,126,32
RZ_3279899_10150.png,10,11
RZ_3279899_10151.png,10,13
RZ_3279899_10152.png,10,13
RZ_3279899_10153.png,10,15
RZ_3279899_10154.png,10,15
RZ_3279899_10155.png,10,18
RZ_3279899_10156.png,10,18
RZ_3279899_10157.png,10,20
RZ_3279899_10158.png,10,20
RZ_3279899_10159.png,10,21
RZ_3279899_1016.png,126,32
RZ_3279899_10160.png,10,21
RZ_3279899_10161.png,10,23
RZ_3279899_10162.png,10,23
RZ_3279899_10163.png,10,23
RZ_3279899_10164.png,10,23
RZ_3279899_10165.png,10,23
RZ_3279899_10166.png,10,23
RZ_3279899_10167.png,10,23
RZ_3279899_10168.png,10,23
RZ_3279899_10169.png,10,23
RZ_3279899_1017.png,126,32
RZ_3279899_10170.png,10,23
RZ_3279899_10171.png,10,24
RZ_3279899_10172.png,10,24
RZ_3279899_10173.png,10,24
RZ_3279899_10174.png,10,24
RZ_3279899_10175.png,10,23
RZ_3279899_10176.png,10,23
RZ_3279899_10177.png,10,23
RZ_3279899_10178.png,10,23
RZ_3279899_10179.png,10,25
RZ_3279899_1018.png,126,32
RZ_3279899_10180.png,10,25
RZ_3279899_10181.png,10,27
RZ_3279899_10182.png,10,27
